,open,high,low,close,volume,symbol
2025-10-30,342.22,349.715,341.79,345.03,6411843.0,V
2025-10-31,342.08,343.0,338.17,340.74,7301556.0,V
2025-11-03,341.0,341.21,334.82,336.9,5537953.0,V
2025-11-04,336.48,340.32,334.25,340.3,5920151.0,V
2025-11-05,340.13,342.11,336.36,340.04,4965592.0,V
2025-11-06,338.59,338.65,333.71,336.96,8507904.0,V
2025-11-07,336.725,338.285,334.85,336.02,5318383.0,V
2025-11-10,336.65,338.68,334.32,334.85,5295841.0,V
2025-11-11,335.5,339.09,333.2,338.92,4453262.0,V
2025-11-12,338.25,344.2599,337.4,338.88,6389575.0,V
2025-11-13,339.035,341.46,335.6,336.08,4961710.0,V
2025-11-14,335.89,336.08,329.028,330.02,6422317.0,V
2025-11-17,331.16,333.36,324.93,325.75,6494770.0,V
2025-11-18,324.5,325.0,318.0,321.18,9170422.0,V
2025-11-19,321.52,324.565,319.87,324.12,7066730.0,V
2025-11-20,324.12,328.4,323.14,323.77,6510309.0,V
2025-11-21,325.38,331.0751,324.29,327.98,8929964.0,V
2025-11-24,329.24,330.73,326.0,329.3,9337124.0,V
2025-11-25,328.9,336.06,328.9,334.53,5854254.0,V
2025-11-26,334.53,335.71,333.055,333.79,4309894.0,V
2025-11-28,333.43,335.015,332.0,334.44,4586242.0,V
2025-12-01,332.94,333.3,330.14,330.39,7082250.0,V
2025-12-02,331.45,332.7999,327.21,329.62,8201871.0,V
2025-12-03,329.61,332.35,329.35,329.61,6296657.0,V
2025-12-04,331.28,332.38,324.28,327.1,6277498.0,V
2025-12-05,326.83,334.11,326.3972,331.24,5266948.0,V
2025-12-08,329.88,331.34,324.71,326.84,5998580.0,V
2025-12-09,326.61,328.2254,325.07,326.5,4309978.0,V
2025-12-10,326.64,328.76,325.3,325.73,5467541.0,V
2025-12-11,332.6,347.32,330.06,345.63,12953584.0,V
2025-12-12,348.0,349.84,345.97,347.83,6942265.0,V
2025-12-15,347.83,348.45,343.83,346.89,7004647.0,V
2025-12-16,346.0,347.62,343.72,345.11,7269268.0,V
2025-12-17,345.55,347.79,343.68,344.41,7263538.0,V
2025-12-18,345.17,347.53,344.27,346.01,6805017.0,V
2025-12-19,346.05,349.91,346.05,349.25,18623948.0,V
2025-12-22,350.0,353.44,349.59,352.09,5043517.0,V
2025-12-23,352.0,356.38,352.0,353.38,3703221.0,V
2025-12-24,353.38,355.99,353.01,355.14,2023556.0,V
2025-12-26,355.1,356.725,353.71,355.0,2016968.0,V
2025-12-29,355.49,356.55,353.8,354.61,3989891.0,V
2025-12-30,354.0,354.87,352.66,353.62,3366487.0,V
2025-12-31,353.65,355.2,350.69,350.71,3503151.0,V
2026-01-02,349.87,350.05,343.48,346.48,5403770.0,V
2026-01-05,344.5,357.535,344.05,353.8,7592151.0,V
2026-01-06,353.68,358.62,352.0,357.56,6775412.0,V
2026-01-07,357.15,358.28,354.51,355.88,6333895.0,V
2026-01-08,355.0,356.35,349.5,352.23,6357646.0,V
2026-01-09,352.16,354.6966,349.155,349.77,4903262.0,V
2026-01-12,342.78,346.51,337.32,343.2,13281280.0,V
2026-01-13,337.0,337.52,323.83,327.88,20383504.0,V
2026-01-14,328.66,329.9,323.94,329.17,9388417.0,V
2026-01-15,329.33,331.69,326.37,327.75,8587654.0,V
2026-01-16,326.78,329.25,325.4,328.3,8341619.0,V
2026-01-20,322.225,328.32,321.56,325.82,8269632.0,V
2026-01-21,326.43,328.67,323.0,325.28,8974643.0,V
2026-01-22,326.46,328.39,324.0,326.36,6938702.0,V
2026-01-23,325.86,327.8,324.62,326.18,5667908.0,V
2026-01-26,328.0,332.0,325.03,328.49,7540150.0,V
2026-01-27,328.475,328.93,324.91,325.26,6181006.0,V
2026-01-28,326.73,328.39,324.88,326.98,8105960.0,V
2026-01-29,330.0,333.36,323.51,331.8,10214234.0,V
2026-01-30,332.22,333.0,321.6,321.83,11199090.0,V
2026-02-02,324.83,334.69,324.105,333.84,8502426.0,V
2026-02-03,331.65,335.79,328.87,328.93,9072789.0,V
2026-02-04,327.11,331.31,324.415,329.95,8472261.0,V
2026-02-05,333.0,337.59,328.82,329.13,8339033.0,V
