,open,high,low,close,volume,symbol
2026-04-15,249.25,250.44,247.2,248.5,43045160.0,AMZN
2026-04-16,248.51,250.0,244.2,249.7,41895711.0,AMZN
2026-04-17,254.985,256.18,250.11,250.56,52029291.0,AMZN
2026-04-20,249.19,250.18,245.365,248.28,39463106.0,AMZN
2026-04-21,255.09,255.09,249.1,249.91,42922398.0,AMZN
2026-04-22,252.44,255.94,250.33,255.36,36065067.0,AMZN
2026-04-23,255.39,258.79,253.07,255.08,39091394.0,AMZN
2026-04-24,259.98,264.5,257.685,263.99,53777353.0,AMZN
2026-04-27,263.46,264.15,260.34,261.12,44906840.0,AMZN
2026-04-28,258.39,261.03,256.63,259.7,42204447.0,AMZN
2026-04-29,257.99,265.91,257.7,263.04,72367910.0,AMZN
2026-04-30,273.17,273.88,256.16,265.06,100974867.0,AMZN
2026-05-01,265.58,273.315,262.74,268.26,50825231.0,AMZN
2026-05-04,268.795,276.1,268.795,272.05,49083734.0,AMZN
2026-05-05,276.075,278.56,272.38,273.55,41908529.0,AMZN
2026-05-06,272.89,277.8,272.2076,274.99,44551955.0,AMZN
2026-05-07,275.02,276.63,270.49,271.17,35892879.0,AMZN
2026-05-08,271.63,274.0,269.95,272.68,34732681.0,AMZN
2026-05-11,269.835,273.63,268.48,268.99,38176696.0,AMZN
2026-05-12,266.71,267.65,262.63,265.82,36776221.0,AMZN
2026-05-13,264.43,270.72,263.2,270.13,39670915.0,AMZN
2026-05-14,269.15,270.7799,266.63,267.22,31338435.0,AMZN
2026-05-15,262.5,264.355,260.8901,264.14,40770344.0,AMZN
2026-05-18,263.865,268.85,262.53,264.86,33690787.0,AMZN
2026-05-19,262.04,262.25,255.19,259.34,40340697.0,AMZN
2026-05-20,260.05,265.58,259.533,265.01,34493098.0,AMZN
2026-05-21,263.5,269.4899,261.37,268.46,36591743.0,AMZN
2026-05-22,268.655,269.785,266.235,266.32,27535526.0,AMZN
2026-05-26,267.94,269.3,262.07,265.29,38028118.0,AMZN
2026-05-27,266.15,272.41,265.7001,271.85,40061864.0,AMZN
2026-05-28,272.27,274.5,267.44,274.0,40630385.0,AMZN
2026-05-29,271.29,274.75,269.64,270.64,54749561.0,AMZN
2026-06-01,266.285,266.63,260.7,261.26,53604380.0,AMZN
2026-06-02,257.16,261.2025,254.37,256.52,41810982.0,AMZN
2026-06-03,254.7,257.09,247.71,250.02,51394191.0,AMZN
2026-06-04,253.12,255.83,251.75,253.79,35609769.0,AMZN
2026-06-05,254.255,256.38,245.78,246.03,55607844.0,AMZN
2026-06-08,246.68,249.42,243.36,245.22,33899525.0,AMZN
2026-06-09,247.73,250.43,240.4,244.19,44425363.0,AMZN
2026-06-10,243.605,244.065,237.45,238.0,38590237.0,AMZN
2026-06-11,237.93,242.14,235.18,241.51,41335399.0,AMZN
2026-06-12,243.21,243.36,233.59,238.55,51251141.0,AMZN
2026-06-15,245.02,247.805,244.73,246.02,41711576.0,AMZN
2026-06-16,248.0,249.51,245.4511,246.0,35187406.0,AMZN
2026-06-17,244.9,245.91,236.0,237.5,44780767.0,AMZN
2026-06-18,240.12,245.73,236.02,244.39,75624415.0,AMZN
2026-06-22,240.08,242.0,232.24,232.79,68388526.0,AMZN
2026-06-23,232.55,236.87,232.0,234.11,60492560.0,AMZN
2026-06-24,233.845,242.4199,232.95,234.27,70282581.0,AMZN
2026-06-25,232.02,232.32,225.55,227.01,77858478.0,AMZN
2026-06-26,227.205,233.9,226.125,232.69,248372085.0,AMZN
2026-06-29,234.215,249.71,233.8,240.14,77619228.0,AMZN
2026-06-30,237.35,241.54,237.171,238.34,66228262.0,AMZN
2026-07-01,239.75,244.9,234.9,241.7,53829851.0,AMZN
2026-07-02,241.605,246.72,241.08,242.67,48298137.0,AMZN
2026-07-06,243.795,246.04,240.88,244.16,40044034.0,AMZN
2026-07-07,246.975,248.93,242.7,245.98,40579603.0,AMZN
2026-07-08,244.27,244.8,240.52,243.62,29653043.0,AMZN
2026-07-09,239.82,247.5,238.25,247.04,38091688.0,AMZN
2026-07-10,249.55,251.03,244.41,245.34,31653997.0,AMZN
2026-07-13,244.68,249.65,244.18,247.31,34636091.0,AMZN
2026-07-14,245.55,248.56,243.8,247.49,30108054.0,AMZN
2026-07-15,249.75,256.48,249.75,254.96,45240622.0,AMZN
2026-07-16,255.12,258.0825,248.0,249.89,45343709.0,AMZN
2026-07-17,244.46,250.24,243.59,247.23,43572361.0,AMZN
2026-07-20,248.76,252.89,248.0,249.99,32406481.0,AMZN
2026-07-21,249.105,249.34,246.42,247.55,27732064.0,AMZN
2026-07-22,248.265,248.45,242.45,244.85,34112732.0,AMZN
2026-07-23,236.26,238.3499,232.0516,233.66,47465337.0,AMZN
2026-07-24,234.38,234.95,231.34,232.11,35017357.0,AMZN
2026-07-27,235.665,235.89,230.99,231.39,34999495.0,AMZN
2026-07-28,232.85,233.11,228.1,230.86,44521597.0,AMZN
2026-07-29,229.315,232.82,226.16,226.65,44957524.0,AMZN
2026-07-30,233.35,239.8236,231.06,235.5,101839774.0,AMZN
2026-07-31,265.0,273.23,262.01,271.58,129054771.0,AMZN
2026-08-03,278.29,287.2,278.0,284.02,90830221.0,AMZN
2026-08-04,276.06,281.07,275.82,277.42,69748055.0,AMZN
2026-08-05,281.59,282.79,270.73,272.65,45119804.0,AMZN
2026-08-06,272.765,275.48,271.061,272.26,30672901.0,AMZN
2026-08-07,272.87,278.31,272.75,274.48,33861436.0,AMZN
2026-08-10,274.01,280.14,273.6001,278.09,35731907.0,AMZN
2026-08-11,278.69,278.84,271.36,272.27,31895708.0,AMZN
2026-08-12,273.18,273.46,267.1,267.28,29941093.0,AMZN
2026-08-13,267.235,269.58,264.705,265.13,32170151.0,AMZN
2026-08-14,264.875,265.81,262.42,262.65,27251660.0,AMZN
2026-08-17,265.44,265.75,258.339,261.31,43896516.0,AMZN
2026-08-18,260.63,262.18,257.73,259.45,33171263.0,AMZN
2026-08-19,260.845,266.4,258.58,265.84,35762439.0,AMZN
2026-08-20,263.16,263.84,259.52,260.11,28374098.0,AMZN
2026-08-21,260.74,261.09,257.035,258.63,35722956.0,AMZN
2026-08-24,259.6,263.32,259.05,262.07,28070483.0,AMZN
2026-08-25,262.51,263.89,259.83,261.06,25550214.0,AMZN
2026-08-26,261.275,262.05,258.24,260.28,21528373.0,AMZN
2026-08-27,259.23,259.66,255.02,256.26,35927807.0,AMZN
2026-08-28,258.32,267.56,257.78,266.43,49547427.0,AMZN
2026-08-31,263.825,264.36,257.12,259.77,46089422.0,AMZN
2026-09-01,254.83,255.82,251.93,254.92,31700056.0,AMZN
2026-09-02,254.255,256.24,253.4,254.98,24013334.0,AMZN
2026-09-03,256.2,259.5,256.0,258.9,26891531.0,AMZN
2026-09-04,259.07,261.12,255.29,258.51,30749912.0,AMZN
